file,status,detail,rows_raw,rows_normalized,text_col,url_col,id_col,source_inferred
JWO_OSH_Online_Issue_Analysis_2026\JWO\daum_article\runs\20260501_20260531\data_enriched\comment_master.csv,skip_not_comment_schema,missing text/id/url-like columns,0,0,,,,
JWO_OSH_Online_Issue_Analysis_2026\JWO\daum_blog_cafe\runs\20260501_20260531\data_enriched\nonnews_comment_master.csv,ok,,685,685,comment_text,,comment_id,daum_blog_cafe
JWO_OSH_Online_Issue_Analysis_2026\JWO\naver_article\runs\20260501_20260531\data_enriched\comment_master.csv,ok,,399154,331487,text,naver_article_url,comment_id,naver_article
JWO_OSH_Online_Issue_Analysis_2026\JWO\naver_blog_cafe\runs\20260501_20260531\data_enriched\nonnews_comment_master.csv,ok,,430,430,comment_text,,comment_id,naver_blog_cafe
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\combined_results\youtube_comments.csv,ok,,170605,170597,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\data_enriched\youtube_comment_master.csv,ok,,399,399,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260101_20260114\data_enriched\youtube_comment_master.csv,ok,,2217,2217,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260101_20260114\data_enriched\youtube_comment_master_before_date_enrich_20260506_001934.csv,ok,,2217,2217,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260115_20260131\data_enriched\youtube_comment_master.csv,ok,,2241,2241,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260115_20260131\data_enriched\youtube_comment_master_before_date_enrich_20260506_002704.csv,ok,,2241,2241,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260201_20260214\data_enriched\youtube_comment_master.csv,ok,,13222,13222,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260201_20260214\data_enriched\youtube_comment_master_before_date_enrich_20260506_005615.csv,ok,,13222,13222,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260215_20260228\data_enriched\youtube_comment_master.csv,ok,,5464,5464,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260215_20260228\data_enriched\youtube_comment_master_before_date_enrich_20260506_010831.csv,ok,,5464,5464,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260301_20260314\data_enriched\youtube_comment_master.csv,ok,,5551,5551,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260301_20260314\data_enriched\youtube_comment_master_before_date_enrich_20260506_011931.csv,ok,,5551,5551,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260315_20260331\data_enriched\youtube_comment_master.csv,ok,,23166,23166,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260315_20260331\data_enriched\youtube_comment_master_before_date_enrich_20260506_015202.csv,ok,,23166,23166,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260401_20260414\data_enriched\youtube_comment_master.csv,ok,,30203,30196,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260401_20260414\data_enriched\youtube_comment_master_before_date_enrich_20260506_023333.csv,ok,,30203,30196,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260415_20260430\data_enriched\youtube_comment_master.csv,ok,,10931,10930,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260415_20260430\data_enriched\youtube_comment_master_before_date_enrich_20260506_030025.csv,ok,,10931,10930,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260501_20260514\data_enriched\youtube_comment_master.csv,ok,,30927,30927,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260501_20260514\data_enriched\youtube_comment_master_before_date_enrich_20260606_010733.csv,ok,,30927,30927,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260515_20260531\data_enriched\youtube_comment_master.csv,ok,,46683,46683,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260515_20260531\data_enriched\youtube_comment_master_before_date_enrich_20260606_022705.csv,ok,,46683,46683,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\JWO\youtube\period_results\20260515_20260531\data_enriched\youtube_comment_master_before_fast_rescue_20260606_023506.csv,ok,,46683,46683,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\daum_article\runs\20260501_20260531\data_enriched\comment_master.csv,skip_not_comment_schema,missing text/id/url-like columns,0,0,,,,
JWO_OSH_Online_Issue_Analysis_2026\OSH\daum_blog_cafe\runs\20260501_20260531\data_enriched\nonnews_comment_master.csv,ok,,438,438,comment_text,,comment_id,daum_blog_cafe
JWO_OSH_Online_Issue_Analysis_2026\OSH\naver_article\runs\20260501_20260531\data_enriched\comment_master.csv,ok,,345537,286963,text,naver_article_url,comment_id,naver_article
JWO_OSH_Online_Issue_Analysis_2026\OSH\naver_blog_cafe\runs\20260501_20260531\data_enriched\nonnews_comment_master.csv,ok,,466,466,comment_text,,comment_id,naver_blog_cafe
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\combined_results\youtube_comments.csv,ok,,209363,209361,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\data_enriched\youtube_comment_master.csv,ok,,572,572,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260101_20260114\data_enriched\youtube_comment_master.csv,ok,,8222,8222,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260101_20260114\data_enriched\youtube_comment_master_before_date_enrich_20260506_002503.csv,ok,,8222,8222,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260115_20260131\data_enriched\youtube_comment_master.csv,ok,,16749,16749,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260115_20260131\data_enriched\youtube_comment_master_before_date_enrich_20260506_005011.csv,ok,,16749,16749,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260201_20260214\data_enriched\youtube_comment_master.csv,ok,,26063,26063,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260201_20260214\data_enriched\youtube_comment_master_before_date_enrich_20260506_012500.csv,ok,,26063,26063,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260215_20260228\data_enriched\youtube_comment_master.csv,ok,,6219,6219,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260215_20260228\data_enriched\youtube_comment_master_before_date_enrich_20260506_013846.csv,ok,,6219,6219,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260301_20260314\data_enriched\youtube_comment_master.csv,ok,,26353,26352,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260301_20260314\data_enriched\youtube_comment_master_before_date_enrich_20260506_020706.csv,ok,,26353,26352,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260315_20260331\data_enriched\youtube_comment_master.csv,ok,,19291,19291,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260315_20260331\data_enriched\youtube_comment_master_before_date_enrich_20260506_024036.csv,ok,,19291,19291,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260401_20260414\data_enriched\youtube_comment_master.csv,ok,,14566,14566,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260401_20260414\data_enriched\youtube_comment_master_before_date_enrich_20260506_030625.csv,ok,,14566,14566,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260415_20260430\data_enriched\youtube_comment_master.csv,ok,,15368,15367,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260415_20260430\data_enriched\youtube_comment_master_before_date_enrich_20260506_033352.csv,ok,,15368,15367,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260501_20260514\data_enriched\youtube_comment_master.csv,ok,,16911,16911,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260501_20260514\data_enriched\youtube_comment_master_before_date_enrich_20260606_005542.csv,ok,,16911,16911,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260515_20260531\data_enriched\youtube_comment_master.csv,ok,,59621,59621,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260515_20260531\data_enriched\youtube_comment_master_before_date_enrich_20260606_020942.csv,ok,,59621,59621,text,video_url,comment_id,youtube
JWO_OSH_Online_Issue_Analysis_2026\OSH\youtube\period_results\20260515_20260531\data_enriched\youtube_comment_master_before_fast_rescue_20260606_023836.csv,ok,,59621,59621,text,video_url,comment_id,youtube
